PI_number,Height
PI300119,0.403120521175818
PI300119,0.378397900948138
PI300119,0.404833716619938
PI181083,0.378397900948138
PI181083,0.348304863048161
PI181083,0.24551266781415
PI550604,0.187520720836463
PI550604,0.204119982655925
PI550604,-0.0132282657337552
PI329710,0.593286067020457
PI329710,0.679427896612119
PI329710,0.618048096712093
PI561840,-0.00436480540245009
PI561840,0.110589710299249
PI561840,-0.00877392430750515
PI452692,0.628388930050312
PI452692,0.664641975556126
PI452692,0.507855871695831
PI330185,0.661812685537261
PI330185,0.69810054562339
PI330185,0.591064607026499
PI251672,0.320146286111054
PI251672,0.357934847000454
PI251672,0.413299764081252
PI540518,0.176091259055681
PI540518,0.190331698170292
PI540518,0.252853030979893
PI533998,-0.0457574905606751
PI533998,-0.0457574905606751
PI533998,-0.0132282657337552
PI156268,0.45178643552429
PI156268,0.428134794028789
PI156268,0.462397997898956
PI564163,0.0413926851582251
PI564163,0.133538908370218
PI564163,0.113943352306837
PI655981,0.201397124320452
PI655981,0.354108439147401
PI655981,0.361727836017593
PI337689,0.481442628502305
PI337689,0.361727836017593
PI337689,0.571708831808688
PI535794,0.113943352306837
PI535794,0.113943352306837
PI535794,0.143014800254095
PI297155,0.133538908370218
PI297155,0.0211892990699381
PI297155,0.195899652409234
PI526905,0.495544337546448
PI526905,0.632457292184724
PI526905,0.396199347095736
PI52606,-0.10790539730952
PI52606,-0.10790539730952
PI52606,-0.0861861476162833
PI329301,0.521138083704036
PI329301,0.629409599102719
PI329301,0.634477270160732
PI562732,0.696356388733332
PI562732,0.655138434811382
PI562732,0.676693609624867
PI329394,0.720159303405957
PI329394,0.717670503002262
PI329394,0.639486489268586
PI196049,0.624282095835668
PI196049,0.648360010980932
PI196049,0.651278013998144
PI569452,0.644438589467839
PI569452,0.657055852857104
PI569452,0.578639209968072
PI330168,0.498310553789601
PI330168,0.491361693834273
PI330168,0.480006942957151
PI570145,0.639486489268586
PI570145,0.716837723299524
PI570145,0.73559889969818
PI329865,0.627365856592733
PI329865,0.720159303405957
PI329865,0.69196510276736
PI329310,0.653212513775344
PI329310,0.552668216112193
PI329310,0.690196080028514
PI563329,0.677606952720493
PI563329,0.685741738602264
PI563329,0.716837723299524
PI329511,0.639486489268586
PI329511,0.68304703823885
PI329511,0.595496221825574
PI329300,0.618048096712093
PI329300,0.631443769013172
PI329300,0.510545010206612
PI154844,0.586587304671755
PI154844,0.598790506763115
PI154844,0.629409599102719
PI329403,0.732393759822969
PI329403,0.6414741105041
PI329403,0.75815462196739
PI562970,0.663700925389648
PI562970,0.626340367375042
PI562970,0.631443769013172
PI533792,-0.214670164989233
PI533792,-0.193820026016113
PI533792,-0.221848749616356
PI563330,0.673020907128896
PI563330,0.691081492122968
PI563330,0.648360010980932
PI562985,0.501059262217751
PI562985,0.60530504614111
PI562985,0.632457292184724
PI452542,0.713490543093942
PI452542,0.700703717145019
PI452542,0.744292983122676
PI329435,0
PI329435,-0.0132282657337552
PI329435,-0.0457574905606751
PI329614,0.648360010980932
PI329614,0.525044807036845
PI329614,0.586587304671755
PI329570,0.632457292184724
PI329570,0.636487896353365
PI329570,0.611723308007342
PI585577,0.501059262217751
PI585577,0.531478917042255
PI585577,0.587710965018911
PI330181,0.666517980554881
PI330181,0.635483746814912
PI330181,0.631443769013172
PI329702,0.607455023214669
PI329702,0.637489729512511
PI329702,0.716837723299524
PI576399,0.706717782336759
PI576399,0.72916478969277
PI576399,0.545307116465824
PI569446,-0.0177287669604316
PI569446,0.643452676486187
PI562970,0.663700925389648
PI569447,0.482873583608754
PI35038,0.338456493604605
PI152727,0.6232492903979
PI569443,0.532754378992498
PI513898,0.552668216112193
PI154844,0.639486489268586
PI152694,0.626340367375042
PI569886,0.589949601325708
PI585461,0.602059991327962
PI329510,0.657055852857104
PI156203,0.57978359661681
PI156487,0.633468455579587
PI533998,-0.00877392430750515
PI569422,0.585460729508501
PI619838,0.54282542695918
PI641817,0.356025857193123
PI563009,0.565847818673518
PI570073,0.519827993775719
PI563332,0.612783856719736
PI452692,0.65991620006985
PI329301,0.702430536445525
PI564163,0.0170333392987804
PI329617,0.550228353055094
PI52606,0.146128035678238
PI562730,0.625312450961674
PI569097,0.562292864456475
PI329501,0.518513939877887
PI330169,0.670245853074124
PI329584,0.672097857935718
PI643016,0.680335513414563
PI569460,0.558708570533166
PI570393,0.637489729512511
PI156018,0.562292864456475
PI535793,0.143014800254095
PI542718,0.181843587944773
PI542718,0.227886704613674
PI521290,0.660865478003869
PI152728,0.561101383649056
PI255744,0.469822015978163
PI329440,0.693726948923647
PI329665,0.603144372620182
PI569453,0.634477270160732
PI653616,0.523746466811564
PI156393,0.59659709562646
PI167093,0.585460729508501
PI329605,0.634477270160732
PI562985,0.594392550375427
PI152860,0.679427896612119
PI593916,0.173186268412274
PI569452,0.638489256954637
PI656015,0.298853076409707
PI569421,0.608526033577194
PI329569,0.64738297011462
PI92270,0.444044795918076
PI196586,0.439332693830263
PI569423,0.575187844927661
PI563002,0.557507201905658
PI534165,-0.102372908709559
PI570076,0.672097857935718
PI642998,0.569373909615046
PI570109,0.434568904034199
PI329570,0.614897216033135
PI329673,0.622214022966295
PI196049,0.645422269349092
PI329465,0.344392273685111
PI330196,0.705863712283919
PI562991,0.68930885912362
PI155149,0.713490543093942
PI329843,0.628388930050312
PI535785,0.440909082065218
PI197542,0.60530504614111
PI562994,0.630427875025024
PI329351,0.69810054562339
PI569427,0.562292864456475
PI563196,0.611723308007342
PI297155,0.338456493604605
PI562971,0.658964842664435
PI562981,0.618048096712093
PI329841,0.645422269349092
PI570031,0.607455023214669
PI330167,0.6414741105041
PI505735,0.704150516839799
PI563348,0.671172842715083
PI329333,0.687528961214634
PI505735,0.685741738602264
PI655983,0.47567118832443
PI563329,0.745074791582058
PI330168,0.429752280002408
PI642998,0.507855871695831
PI563329,0.525044807036845
PI330181,0.583198773968623
PI181899,0.243038048686294
PI329519,0.547774705387823
PI540518,0.230448921378274
PI521290,0.518513939877887
PI569427,0.230448921378274
PI329710,0.569373909615046
PI533998,0.0211892990699381
PI329301,0.617000341120899
PI542718,0.303196057420489
PI329702,0.614897216033135
PI569422,0.332438459915605
PI329256,0.491361693834273
PI569148,0.426511261364575
PI561840,0.110589710299249
PI329665,0.514547752660286
PI563330,0.549003262025788
PI329841,0.633468455579587
PI156393,0.41161970596323
PI297155,0.348304863048161
PI297155,0.378397900948138
PI152963,0.523746466811564
PI570145,0.460897842756548
PI329617,0.519827993775719
PI156268,0.620136054973758
PI329843,0.469822015978163
PI452692,0.555094448578319
PI329569,0.60422605308447
PI569423,0.356025857193123
PI562970,0.431363764158987
PI452544,0.591064607026499
PI329403,0.619093330626743
PI156487,0.502427119984433
PI570109,0.326335860928751
PI196049,0.683947130751512
PI330196,0.598790506763115
PI181083,0.2405492482826
PI52606,0.247973266361807
PI593916,0.0128372247051722
PI619838,0.357934847000454
PI156018,0.440909082065218
