PI_number,log_dry_weight
PI300118,1.78490834375327
PI300118,1.62482291672913
PI300119,1.59810400450184
PI300119,1.64956076557094
PI300119,1.69931006409009
PI302252,2.02414122991499
PI302252,1.85620112988889
PI302252,1.92811059493756
PI303658,2.0020798086016
PI303658,2.52099874018488
PI329256,2.09707215906949
PI329256,2.2780318956697
PI329256,2.24964583345826
PI329286,1.935784684651
PI329286,2.03931694320489
PI329299,2.18680433925143
PI329299,2.25745456849817
PI329300,2.24165004517172
PI329300,2.20081233304629
PI329301,2.1542729488428
PI329310,2.39215835052975
PI329310,2.2436670192883
PI329319,2.09707215906949
PI329319,1.9506230475325
PI329326,1.9578019952011
PI329326,1.8809389787307
PI329333,2.15295614949933
PI329333,2.18078961435036
PI329333,2.02414122991499
PI329338,1.96016107357585
PI329338,1.8431089342012
PI329338,2.02991327345263
PI329351,2.04665368250994
PI329351,2.40231299517849
PI329351,2.10325396908326
PI329394,2.08435411795192
PI329394,2.58462213856148
PI329394,2.29569782727565
PI329403,2.32373770759282
PI329403,2.49881213297065
PI329403,2.16462442017297
PI329435,1.64956076557094
PI329435,1.7425975849588
PI329435,1.56138480359547
PI329440,1.60498689166261
PI329440,2.15030686415905
PI329440,1.44121293870305
PI329465,2.16334790542158
PI329465,1.9872414457201
PI329465,2.11082364040243
PI329466,1.9872414457201
PI329466,2.04846294547952
PI329466,2.23345802176136
PI329471,2.59601115626272
PI329471,1.93068827724985
PI329473,2.17712806172518
PI329473,2.36252689068667
PI329473,2.17957355398653
PI329478,2.36323038557444
PI329478,1.8431089342012
PI329478,1.81527546935018
PI329480,2.10017737402625
PI329480,1.80043710646867
PI329501,1.94574984856542
PI329501,1.92289473568304
PI329506,1.89265274905693
PI329506,1.97845651238353
PI329510,2.10630246698939
PI329510,2.1542729488428
PI329511,2.25454765723355
PI329511,2.40542399813128
PI329511,1.97845651238353
PI329517,2.00824259657926
PI329517,2.05560350011792
PI329518,1.92811059493756
PI329518,2.03931694320489
PI329519,1.98940202414119
PI329519,1.88684724271532
PI329541,2.01628655691303
PI329541,1.90396936502257
PI329545,1.95542612609167
PI329545,2.0411663008476
PI329546,1.94574984856542
PI329546,2.11528439543389
PI329550,2.07281391979394
PI329550,2
PI329551,2.39854111097052
PI329551,2.11675816471831
PI329551,1.9506230475325
PI329554,1.92025592193559
PI329554,2.03370658928083
PI329554,2.5802490428208
PI329569,2.22505988823713
PI329569,2.23757916300328
PI329570,1.8431089342012
PI329570,2.49318432124723
PI329570,1.9872414457201
PI329583,2.03931694320489
PI329584,2.10017737402625
PI329584,1.89265274905693
PI329585,1.95542612609167
PI329585,2.05026245496255
PI329605,2.08757934304865
PI329605,2.25454765723355
PI329605,2.02991327345263
PI329614,1.98506679177031
PI329615,2.02219482089765
PI329615,1.96482979584393
PI329617,2.10630246698939
PI329617,2.06431961411589
PI329618,2.00414673904882
PI329618,2.0411663008476
PI329632,1.98287787769276
PI329632,1.76017049491146
PI329644,2.12403096221669
PI329644,1.93068827724985
PI329646,2.17218266459609
PI329665,2.20081233304629
PI329665,2.27438368230007
PI329665,2.12258902390242
PI329673,2.02800032723925
PI329673,2.07448714736096
PI329699,2.11675816471831
PI329699,2.05736502505372
PI329699,2.32135618833061
PI329702,2.07780864939938
PI329702,2.60566743868874
PI329702,2.21970169613425
PI329710,1.98287787769276
PI329710,2.41758593348436
PI329710,1.96016107357585
PI329711,1.8983590110985
PI329711,2.77441290458723
PI329711,2.20309089616445
PI329841,2.14359017476158
PI329841,1.92025592193559
PI329841,2.23449308677889
PI329843,2.11528439543389
PI329843,2.38301234825511
PI329864,2.00824259657926
PI329864,2.36252689068667
PI329864,2.20195355877563
PI329865,2.08435411795192
PI329865,2.22292692123097
PI330167,2.16462442017297
PI330167,2.43841954833756
PI330167,2.04665368250994
PI330168,2.24865677139927
PI330168,2.26224386443587
PI330169,2.17589856420004
PI330169,2.22823399963987
PI330169,2.17712806172518
PI330181,2.49266969977215
PI330181,2.16206649040961
