PI number,Disease,
PI533998,8,0.903089986991944
PI330196,4,0.602059991327962
PI329617,3,0.477121254719662
PI593916,8,0.903089986991944
PI330168,7,0.845098040014257
PI152694,5,0.698970004336019
PI561840,9,0.954242509439325
PI329519,5,0.698970004336019
PI570109,2,0.301029995663981
PI156203,2,0.301029995663981
PI585577,3,0.477121254719662
PI152728,4,0.602059991327962
PI452692,2,0.301029995663981
PI329584,3,0.477121254719662
PI92270,7,0.845098040014257
PI329301,3,0.477121254719662
PI570145,3,0.477121254719662
PI562732,3,0.477121254719662
PI569148,3,0.477121254719662
PI329843,4,0.602059991327962
PI569422,3,0.477121254719662
PI330185,3,0.477121254719662
PI251672,10,1
PI619838,3,0.477121254719662
PI329702,2,0.301029995663981
PI550604,6,0.778151250383644
PI297155,8,0.903089986991944
PI156268,3,0.477121254719662
PI569427,2,0.301029995663981
PI643016,4,0.602059991327962
PI154844,3,0.477121254719662
PI329394,3,0.477121254719662
PI563332,3,0.477121254719662
PI329569,3,0.477121254719662
PI300119,5,0.698970004336019
PI521290,1,0
PI154844,4,0.602059991327962
PI52606,7,0.845098040014257
PI152963,3,0.477121254719662
PI196049,4,0.602059991327962
PI569446,4,0.602059991327962
PI562970,3,0.477121254719662
PI329665,4,0.602059991327962
PI656015,7,0.845098040014257
PI563329,3,0.477121254719662
PI329841,3,0.477121254719662
PI330181,2,0.301029995663981
PI181083,5,0.698970004336019
PI533792,7,0.845098040014257
PI297155,6,0.778151250383644
PI455217,3,0.477121254719662
PI540518,7,0.845098040014257
PI329256,2,0.301029995663981
PI569097,9,0.954242509439325
PI329310,2,0.301029995663981
PI569443,3,0.477121254719662
PI329570,6,0.778151250383644
PI533998,7,0.845098040014257
PI329710,3,0.477121254719662
PI642998,8,0.903089986991944
PI156487,4,0.602059991327962
PI535794,6,0.778151250383644
PI156018,3,0.477121254719662
PI526905,7,0.845098040014257
PI569423,2,0.301029995663981
PI452544,4,0.602059991327962
PI330182,2,0.301029995663981
PI157804,8,0.903089986991944
PI562985,3,0.477121254719662
PI569452,3,0.477121254719662
PI576399,5,0.698970004336019
PI156393,5,0.698970004336019
PI181899,8,0.903089986991944
PI563330,4,0.602059991327962
PI329511,4,0.602059991327962
PI329403,4,0.602059991327962
PI330168,5,0.698970004336019
PI642998,8,0.903089986991944
PI563329,5,0.698970004336019
PI330181,4,0.602059991327962
PI181899,5,0.698970004336019
PI329519,4,0.602059991327962
PI540518,9,0.954242509439325
PI521290,4,0.602059991327962
PI569427,2,0.301029995663981
PI329710,6,0.778151250383644
PI533998,9,0.954242509439325
PI329301,3,0.477121254719662
PI542718,2,0.301029995663981
PI329702,4,0.602059991327962
PI569422,4,0.602059991327962
PI329256,4,0.602059991327962
PI569148,5,0.698970004336019
PI561840,9,0.954242509439325
PI329665,3,0.477121254719662
PI563330,6,0.778151250383644
PI329841,4,0.602059991327962
PI156393,4,0.602059991327962
PI297155,8,0.903089986991944
PI297155,9,0.954242509439325
PI152963,4,0.602059991327962
PI570145,5,0.698970004336019
PI329617,3,0.477121254719662
PI156268,7,0.845098040014257
PI329843,4,0.602059991327962
PI452692,4,0.602059991327962
PI329569,2,0.301029995663981
PI569423,2,0.301029995663981
PI562970,4,0.602059991327962
PI452544,5,0.698970004336019
PI329403,3,0.477121254719662
PI156487,3,0.477121254719662
PI570109,5,0.698970004336019
PI196049,5,0.698970004336019
PI330196,2,0.301029995663981
PI181083,8,0.903089986991944
PI52606,10,1
PI593916,9,0.954242509439325
PI619838,4,0.602059991327962
PI156018,3,0.477121254719662
PI92270,7,0.845098040014257
PI329310,5,0.698970004336019
PI569443,4,0.602059991327962
PI152728,3,0.477121254719662
PI330185,3,0.477121254719662
PI656015,11,1.04139268515823
PI154844,6,0.778151250383644
PI455217,7,0.845098040014257
PI535794,6,0.778151250383644
PI157804,7,0.845098040014257
PI300119,4,0.602059991327962
PI562985,4,0.602059991327962
PI569452,6,0.778151250383644
PI152694,5,0.698970004336019
PI585577,4,0.602059991327962
PI569446,2,0.301029995663981
PI562732,4,0.602059991327962
PI563332,8,0.903089986991944
PI329511,5,0.698970004336019
PI569421,7,0.845098040014257
PI251672,6,0.778151250383644
PI550604,8,0.903089986991944
PI569097,4,0.602059991327962
PI576399,8,0.903089986991944
PI156203,2,0.301029995663981
PI643016,7,0.845098040014257
PI329584,4,0.602059991327962
PI154844,5,0.698970004336019
PI526905,8,0.903089986991944
PI329570,5,0.698970004336019
PI329256,5,0.698970004336019
PI156203,4,0.602059991327962
PI643016,8,0.903089986991944
PI152963,4,0.602059991327962
PI569097,6,0.778151250383644
PI452544,8,0.903089986991944
PI329403,8,0.903089986991944
PI329570,5,0.698970004336019
PI533998,7,0.845098040014257
PI329843,4,0.602059991327962
PI181083,9,0.954242509439325
PI569443,3,0.477121254719662
PI152728,7,0.845098040014257
PI152694,7,0.845098040014257
PI297155,8,0.903089986991944
PI329310,5,0.698970004336019
PI570109,3,0.477121254719662
PI156487,3,0.477121254719662
PI297155,8,0.903089986991944
PI656015,8,0.903089986991944
PI330196,6,0.778151250383644
PI569421,7,0.845098040014257
PI642998,7,0.845098040014257
PI92270,11,1.04139268515823
PI300119,5,0.698970004336019
PI569148,10,1
PI329569,4,0.602059991327962
PI585577,7,0.845098040014257
PI156268,6,0.778151250383644
PI330168,10,1
PI181899,7,0.845098040014257
PI329301,8,0.903089986991944
PI330185,5,0.698970004336019
PI52606,6,0.778151250383644
PI157804,10,1
PI455217,7,0.845098040014257
PI576399,11,1.04139268515823
PI535794,13,1.11394335230684
PI251672,9,0.954242509439325
PI156018,6,0.778151250383644
PI569452,6,0.778151250383644
PI569422,2,0.301029995663981
PI329519,6,0.778151250383644
PI521290,5,0.698970004336019
PI533792,7,0.845098040014257
PI593916,8,0.903089986991944
PI562985,5,0.698970004336019
PI330181,4,0.602059991327962
PI569446,2,0.301029995663981
PI526905,14,1.14612803567824
PI540518,12,1.07918124604762
PI569427,6,0.778151250383644
PI542718,3,0.477121254719662
PI563330,6,0.778151250383644
PI570145,6,0.778151250383644
PI329511,5,0.698970004336019
PI550604,14,1.14612803567824
PI619838,4,0.602059991327962
PI562970,8,0.903089986991944
PI561840,5,0.698970004336019
PI329710,2,0.301029995663981
PI329702,3,0.477121254719662
PI329665,6,0.778151250383644
PI569423,4,0.602059991327962
PI156393,5,0.698970004336019
PI154844,7,0.845098040014257
PI452692,4,0.602059991327962
PI329584,7,0.845098040014257
PI329617,4,0.602059991327962
PI154844,4,0.602059991327962
PI563332,4,0.602059991327962
PI196049,5,0.698970004336019
PI562732,3,0.477121254719662
PI563329,4,0.602059991327962
PI329841,4,0.602059991327962
