PI_number,Dry_weight
PI154844,2.8164004016477
PI526905,2.2132520521964
PI526905,2.21066624430912
PI526905,2.08621741569334
PI564163,2.25481384103487
PI564163,2.11253797560931
PI564163,2.28591719672831
PI550604,2.32561827281003
PI550604,2.14370162942477
PI550604,2.19772152222687
PI181083,2.32467335018925
PI181083,2.09666673997538
PI181083,2.02493696803744
PI300119,2.57652562706521
PI300119,2.64454690338165
PI300119,2.63743969270366
PI540518,2.27112105570413
PI540518,1.94502520124246
PI92270,2.01874209576238
PI92270,1.97048634884765
PI92270,2.0669964204497
PI329403,2.94392958167728
PI329403,2.57721596973465
PI329403,2.92137429541847
PI297155,2.26211871543188
PI297155,2.15253294843453
PI297155,2.25902017407081
PI196049,3.23642136698835
PI196049,3.00486282922932
PI196049,2.9773165492287
PI535794,2.32923511556942
PI535794,2.26131046010062
PI535794,2.27889072492868
PI585577,3.26408787842835
PI585577,2.3451383831101
PI585577,2.56536368823123
PI329570,2.92996528201583
PI329570,3.20982052169739
PI329570,3.00672269220168
PI533998,1.99224414404677
PI533998,1.79476679794082
PI533998,2.01749244647728
PI656015,2.19462532948386
PI656015,2.3613689227436
PI656015,2.25918758294281
PI569097,3.00305534631593
PI569097,2.89331781161611
PI569097,2.46625947893545
PI561840,2.64092842086683
PI561840,2.15332696149091
PI561840,2.09289601092186
PI329702,2.91053369509495
PI329702,3.12744497048343
PI329702,2.74954308109117
PI329511,2.3289297689479
PI329511,3.13262785102901
PI329511,2.6650835657085
PI534165,1.93110174563264
PI534165,2.16178711874552
PI534165,2.2070685815141
PI329569,2.96447648751351
PI329569,2.79530289097533
PI329569,2.86664762447482
PI330185,3.10282460057289
PI330185,2.91533650697702
PI330185,2.9974824952768
PI329710,3.1115447805519
PI329710,3.3072477987056
PI329710,3.1977518220661
PI535793,2.15124723746237
PI535793,2.08177922676753
PI535793,2.38097059281634
PI329299,2.91281170120337
PI329299,3.01916615872056
PI329299,2.79409051669447
PI330168,2.95501871994215
PI330168,2.76542265809382
PI330168,3.22609959856907
PI569452,2.86012230333888
PI569452,3.47491523603277
PI569452,3.20682857350473
PI152963,3.28458411987024
PI152963,3.11607284735519
PI152963,3.35988668434774
PI563332,2.93925959670154
PI563332,2.88452349092728
PI563332,2.99531483912693
PI329865,3.19667073919697
PI329865,3.18908586942075
PI329865,2.90156729002845
PI329394,2.78074923110355
PI329394,3.10375242330266
PI329394,2.92920939195493
PI337689,2.79924402884381
PI337689,3.08240474724991
PI337689,2.98512995679252
PI329300,3.06319445259276
PI329300,3.12612815897398
